"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DTM-P1GEN7","\Gemini-CLI-Update-stable","4/29/2026 8:00:00 AM","Ready","Interactive only","4/22/2026 10:31:39 AM","-196608","N/A","powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -File "C:\Users\david\gemini-cli\update-scripts\check-releases.ps1" -Channel stable","N/A","Checks for new gemini-cli stable releases and updates automatically","Enabled","Disabled","","david","Disabled","72:00:00","Scheduling data is not available in this format.","Weekly","8:00:00 AM","1/11/2026","N/A","WED","Every 1 week(s)","Disabled","Disabled","Disabled","Disabled"
"DTM-P1GEN7","\Git Maintenance (daily)","4/29/2026 12:45:00 AM","Ready","Interactive only","4/28/2026 2:20:33 PM","-2147020576","N/A",""C:/Program Files/Git/mingw64/libexec/git-core\headless-git.exe" --exec-path="C:/Program Files/Git/mingw64/libexec/git-core" -c credential.interactive=false -c core.askPass=true  for-each-repo --keep-going --config=maintenance.repo maintenance run --sch","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","david","Disabled","72:00:00","Scheduling data is not available in this format.","Weekly","12:45:00 AM","1/1/2020","N/A","MON, TUE, WED, THU, FRI, SAT","Every 1 week(s)","Disabled","Disabled","Disabled","Disabled"
"DTM-P1GEN7","\Git Maintenance (hourly)","4/28/2026 6:34:00 PM","Ready","Interactive only","4/28/2026 5:34:01 PM","0","N/A",""C:/Program Files/Git/mingw64/libexec/git-core\headless-git.exe" --exec-path="C:/Program Files/Git/mingw64/libexec/git-core" -c credential.interactive=false -c core.askPass=true  for-each-repo --keep-going --config=maintenance.repo maintenance run --sch","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","david","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:34:00 AM","1/1/2020","N/A","Every 1 day(s)","N/A","1 Hour(s), 0 Minute(s)","None","23 Hour(s), 0 Minute(s)","Disabled"
"DTM-P1GEN7","\Git Maintenance (weekly)","5/3/2026 12:20:00 AM","Ready","Interactive only","4/28/2026 2:20:33 PM","-2147020576","N/A",""C:/Program Files/Git/mingw64/libexec/git-core\headless-git.exe" --exec-path="C:/Program Files/Git/mingw64/libexec/git-core" -c credential.interactive=false -c core.askPass=true  for-each-repo --keep-going --config=maintenance.repo maintenance run --sch","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","david","Disabled","72:00:00","Scheduling data is not available in this format.","Weekly","12:20:00 AM","1/1/2020","N/A","SUN","Every 1 week(s)","Disabled","Disabled","Disabled","Disabled"
"DTM-P1GEN7","\IntelSURQC-Upgrade-86621605-2a0b-4128-8ffc-15514c247132","4/28/2026 7:19:28 PM","Ready","Interactive/Background","4/28/2026 2:20:33 PM","-2147020576","SYSTEM",""C:\Program Files\Intel\SUR\QUEENCREEK\Updater\bin\IntelSoftwareAssetManagerService.exe" --automatic","N/A","Intel(R) SUR QC Software Asset Manager helps you keep your system up-to-date.","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","7:19:28 PM","3/3/2026","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"DTM-P1GEN7","\IntelSURQC-Upgrade-86621605-2a0b-4128-8ffc-15514c247132-Logon","N/A","Ready","Interactive/Background","4/28/2026 2:41:05 PM","0","SYSTEM",""C:\Program Files\Intel\SUR\QUEENCREEK\Updater\bin\IntelSoftwareAssetManagerService.exe" --automatic","N/A","Intel(R) SUR QC Software Asset Manager helps you keep your system up-to-date.","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\iSCSIAgentAutoStartup","N/A","Running","Interactive/Background","4/28/2026 2:36:05 PM","267009","QNAP",""C:\Program Files (x86)\QNAP\Qfinder\iSCSIAgent.exe" ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Everyone","Disabled","Disabled","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\LspmuxServer","N/A","Ready","Interactive only","4/28/2026 2:36:05 PM","0","N/A","powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File "C:/Users/david\.local\bin\Start-LspmuxServer.ps1"","N/A","Starts lspmux LSP multiplexer server for shared rust-analyzer instances","Enabled","Disabled","","david","Disabled","8760:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\LvfCleanup","N/A","Ready","Interactive/Background","11/30/1999 12:00:00 AM","267011","N/A","powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -Command "$s = Get-Service 'LvfInstallService' -ErrorAction SilentlyContinue; if (-not $s -or $s.StartType -eq 'Disabled' -or $s.Status -eq 'Stopped') { Start-Sleep -Seconds 5; sc.exe","N/A","Deletes LVF cleanup tasks after LvfInstallService removal","Enabled","Disabled","","SYSTEM","Disabled","00:05:00","Scheduling data is not available in this format.","When an event occurs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\LvfDriverRemoval","4/29/2026 2:36:19 PM","Ready","Interactive/Background","4/28/2026 5:16:45 PM","0","N/A","C:\WINDOWS\System32\DriverStore\FileRepository\lnvvsndmft.inf_amd64_f6d79d78edcb4315\LvfInstallService.exe -removedriver","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:36:19 PM","4/28/2026","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
